timestamp,active_power,reactive_power,current_r,current_s,current_t,voltage_rs,voltage_st,voltage_tr
2023-10-01 01:32:00+00:00,26967.127213541666,-24905.28671875,87.54740852666666,99.5280151,87.97431338,235002.25625,235587.409375,234804.59895833334
2023-10-01 01:33:00+00:00,26230.5921875,-24472.65859375,84.78966444,99.5280151,87.92447512,234991.978125,235589.2625,234821.296875
2023-10-01 01:34:00+00:00,25494.05716145833,-24040.03046875,82.03192035333333,99.5280151,87.87463686,234981.7,235591.115625,234837.99479166666
2023-10-01 01:35:00+00:00,24757.522135416668,-23607.40234375,79.27417626666667,99.5280151,87.8247986,234971.421875,235592.96875,234854.69270833334
2023-10-01 01:36:00+00:00,24020.987109375,-23174.77421875,76.51643218,99.5280151,87.77496033999999,234961.14375,235594.821875,234871.390625
2023-10-01 01:37:00+00:00,23284.452083333334,-22742.14609375,73.75868809333333,99.5280151,87.72512207999999,234950.865625,235596.675,234888.08854166666
2023-10-01 01:38:00+00:00,22547.917057291666,-22309.51796875,71.00094400666666,99.5280151,87.67528382,234940.5875,235598.528125,234904.78645833334
2023-10-01 01:39:00+00:00,21811.38203125,-21876.88984375,68.24319992,99.5280151,87.62544556,234930.309375,235600.38125,234921.484375
2023-10-01 01:40:00+00:00,21074.847005208332,-21444.26171875,65.48545583333333,99.5280151,87.5756073,234920.03125,235602.234375,234938.18229166666
2023-10-01 01:41:00+00:00,20338.31197916667,-21011.63359375,62.727711746666664,99.5280151,87.52576904,234909.753125,235604.0875,234954.88020833334
2023-10-01 01:42:00+00:00,19601.776953125,-20579.00546875,59.969967659999995,99.5280151,87.47593078,234899.475,235605.940625,234971.578125
2023-10-01 01:43:00+00:00,18865.241927083334,-20146.37734375,57.21222357333333,99.5280151,87.42609252,234889.196875,235607.79375,234988.27604166666
2023-10-01 01:44:00+00:00,18128.706901041667,-19713.74921875,54.45447948666666,99.5280151,87.37625426,234878.91875,235609.646875,235004.97395833334
2023-10-01 01:45:00+00:00,17392.171875,-19281.12109375,51.6967354,99.5280151,87.326416,234868.640625,235611.5,235021.671875
2023-10-01 01:46:00+00:00,15506.365364583333,-19230.860286458334,51.564295720000004,96.86421302000001,85.35998966,234875.48125,235611.5,235043.12604166666
2023-10-01 01:47:00+00:00,13620.558854166666,-19180.599479166667,51.43185604,94.20041094,83.39356332,234882.321875,235611.5,235064.58020833333
2023-10-01 01:48:00+00:00,11734.75234375,-19130.338671875,51.29941636,91.53660886,81.42713698,234889.1625,235611.5,235086.034375
2023-10-01 01:49:00+00:00,9848.945833333333,-19080.077864583334,51.16697668,88.87280678,79.46071064,234896.003125,235611.5,235107.48854166668
2023-10-01 01:50:00+00:00,7963.139322916666,-19029.817057291668,51.034537,86.20900470000001,77.4942843,234902.84375,235611.5,235128.94270833334
2023-10-01 01:51:00+00:00,6077.332812500001,-18979.55625,50.90209732,83.54520262,75.52785796,234909.684375,235611.5,235150.396875
2023-10-01 01:52:00+00:00,4191.526302083334,-18929.295442708335,50.76965764,80.88140054,73.56143162,234916.525,235611.5,235171.85104166667
2023-10-01 01:53:00+00:00,2305.7197916666664,-18879.034635416665,50.63721796,78.21759846,71.59500528,234923.365625,235611.5,235193.30520833333
